id_project,name,top,score,year,week,created_at,init_price,end_price,performance
1062,Fantom,General,67.64,2024,6,2024-02-12 01:16:27,0.397245,0.396235,-0.002542511548288867
1094,Fetch.ai,General,67.43,2024,6,2024-02-12 01:16:31,,,
991,Ethereum Classic,General,67.24,2024,6,2024-02-12 01:16:17,26.11,25.93,-0.00689391037916506
2391,Klaytn,General,67.24,2024,6,2024-02-12 01:17:15,,,
993,IOTA,General,66.99,2024,6,2024-02-12 01:16:17,,,
881,Dash,General,66.51,2024,6,2024-02-12 01:16:11,,,
1014,Enjin Coin,General,66.44,2024,6,2024-02-12 01:16:20,,,
1032,Zilliqa,General,66.32,2024,6,2024-02-12 01:16:23,,,
1150,Thorchain,General,66.21,2024,6,2024-02-12 01:16:36,5.43,5.23,-0.03683241252302013
6641,1inch,General,66.17,2024,6,2024-02-12 01:18:35,,,
1067,Loopring,General,66.05,2024,6,2024-02-12 01:16:28,,,
659,ChainLink,General,66.01,2024,6,2024-02-12 01:16:04,20.1,18.66,-0.07164179104477618
1210,Matrix AI Network,General,65.87,2024,6,2024-02-12 01:16:41,,,
1004,Holo,General,65.81,2024,6,2024-02-12 01:16:19,,,
4696,Curve DAO Token,General,65.72,2024,6,2024-02-12 01:17:52,,,
1003,Ravencoin,General,65.41,2024,6,2024-02-12 01:16:19,,,
4406,DeFiChain,General,65.25,2024,6,2024-02-12 01:17:47,,,
5923,Akash Network,General,65.24,2024,6,2024-02-12 01:18:19,,,
1103,Gnosis,General,65.07,2024,6,2024-02-12 01:16:32,,,
5572,Crust Network,General,65.06,2024,6,2024-02-12 01:18:10,,,
376,Bitcoin,General,92.03,2024,7,2024-02-18 22:40:26,51517.0,51566.0,0.0009511423413630452
978,Ethereum,General,78.5,2024,7,2024-02-18 22:40:47,2988.18,2780.88,-0.06937333092383983
979,XRP,General,76.05,2024,7,2024-02-18 22:40:47,0.544773,0.550318,0.010178551433349345
8839,Internet Computer,General,75.52,2024,7,2024-02-18 22:44:11,12.6,13.16,0.04444444444444449
345,Binance Coin,General,74.67,2024,7,2024-02-18 22:40:24,382.29,353.18,-0.0761463810196448
5518,Avalanche,General,73.33,2024,7,2024-02-18 22:42:47,36.68,39.74,0.08342420937840792
1069,Hedera Hashgraph,General,72.48,2024,7,2024-02-18 22:41:01,0.109182,0.082813,-0.2415141690022165
3844,Trust Wallet Token,General,71.95,2024,7,2024-02-18 22:42:14,,,
621,Cardano,General,71.93,2024,7,2024-02-18 22:40:33,0.592343,0.598949,0.011152322218714497
1036,Polygon,General,71.87,2024,7,2024-02-18 22:40:57,0.996543,0.924026,-0.0727685609150834
907,Decentraland,General,71.51,2024,7,2024-02-18 22:40:43,,,
2391,Klaytn,General,71.46,2024,7,2024-02-18 22:41:50,,,
769,Cosmos,General,71.25,2024,7,2024-02-18 22:40:39,10.4,10.23,-0.01634615384615384
984,TRON,General,71.11,2024,7,2024-02-18 22:40:48,0.137362,0.136215,-0.008350198744922242
5613,Aave,General,71.06,2024,7,2024-02-18 22:42:50,99.53,93.8,-0.05757058173415055
3747,Solana,General,71.04,2024,7,2024-02-18 22:42:11,104.14,108.44,0.04129057038601879
4688,Polkadot,General,70.81,2024,7,2024-02-18 22:42:28,7.8,7.66,-0.01794871794871791
994,VeChain,General,70.68,2024,7,2024-02-18 22:40:50,0.0443853,0.0452615,0.019740770029717056
147,Algorand,General,70.56,2024,7,2024-02-18 22:40:17,0.194055,0.190093,-0.02041689211821387
998,Dogecoin,General,70.33,2024,7,2024-02-18 22:40:51,0.085832,0.083577,-0.026272252772858686
5395,Uniswap,General,70.31,2024,7,2024-02-18 22:42:44,11.21,7.68,-0.3148974130240857
1011,Theta Network,General,70.18,2024,7,2024-02-18 22:40:53,,,
983,Stellar,General,70.02,2024,7,2024-02-18 22:40:48,0.11685,0.114158,-0.02303808301240907
8477,Mina Protocol (IOU),General,69.95,2024,7,2024-02-18 22:44:01,1.32,1.36,0.030303030303030328
1062,Fantom,General,69.81,2024,7,2024-02-18 22:41:00,0.421131,0.397245,-0.05671869323322188
985,Tezos,General,69.77,2024,7,2024-02-18 22:40:49,,,
7102,Flow - Dapper Labs,General,69.44,2024,7,2024-02-18 22:43:26,1.001,0.926887,-0.07403896103896092
986,Monero,General,69.14,2024,7,2024-02-18 22:40:49,123.88,120.09,-0.030594123345172686
1005,Synthetix Network Token,General,69.11,2024,7,2024-02-18 22:40:52,4.03,3.63,-0.09925558312655094
991,Ethereum Classic,General,68.82,2024,7,2024-02-18 22:40:50,26.08,26.11,0.0011503067484663013
15951,BitTorrent,General,68.58,2024,7,2024-02-18 22:47:41,,,
5674,PancakeSwap,General,68.23,2024,7,2024-02-18 22:42:52,,,
996,Maker,General,68.13,2024,7,2024-02-18 22:40:51,2027.1,2112.5,0.04212915001726609
881,Dash,General,67.93,2024,7,2024-02-18 22:40:43,,,
809,Crypto.com Coin,General,67.83,2024,7,2024-02-18 22:40:41,0.094332,0.088515,-0.061665182546749804
1032,Zilliqa,General,67.53,2024,7,2024-02-18 22:40:56,,,
993,IOTA,General,67.31,2024,7,2024-02-18 22:40:50,,,
1014,Enjin Coin,General,67.16,2024,7,2024-02-18 22:40:54,,,
1150,Thorchain,General,67.15,2024,7,2024-02-18 22:41:10,5.43,5.43,0.0
1094,Fetch.ai,General,66.79,2024,7,2024-02-18 22:41:04,,,
659,ChainLink,General,66.78,2024,7,2024-02-18 22:40:35,18.46,20.1,0.0888407367280607
1067,Loopring,General,66.74,2024,7,2024-02-18 22:41:01,,,
6569,The Graph,General,66.66,2024,7,2024-02-18 22:43:14,0.271895,0.203165,-0.25278140458632925
4406,DeFiChain,General,66.63,2024,7,2024-02-18 22:42:24,,,
1742,Dovu,General,66.47,2024,7,2024-02-18 22:41:40,,,
1004,Holo,General,66.46,2024,7,2024-02-18 22:40:52,,,
1087,Kava,General,66.21,2024,7,2024-02-18 22:41:03,,,
1003,Ravencoin,General,66.19,2024,7,2024-02-18 22:40:52,,,
1081,Harmony,General,66.14,2024,7,2024-02-18 22:41:03,,,
15335,Moonbeam,General,65.9,2024,7,2024-02-18 22:47:23,,,
376,Bitcoin,General,91.11,2024,8,2024-02-26 00:28:08,61936.0,51517.0,-0.16822203564970292
978,Ethereum,General,77.63,2024,8,2024-02-26 00:28:23,3411.25,2988.18,-0.12402198607548558
979,XRP,General,75.63,2024,8,2024-02-26 00:28:24,0.631961,0.544773,-0.1379642098167451
5518,Avalanche,General,73.4,2024,8,2024-02-26 00:29:59,42.71,36.68,-0.14118473425427303
345,Binance Coin,General,73.08,2024,8,2024-02-26 00:28:07,408.79,382.29,-0.06482546050539396
3844,Trust Wallet Token,General,71.05,2024,8,2024-02-26 00:29:32,1.49,1.33,-0.10738255033557041
3747,Solana,General,70.92,2024,8,2024-02-26 00:29:30,129.1,104.14,-0.19333849728892327
621,Cardano,General,70.92,2024,8,2024-02-26 00:28:14,0.733245,0.592343,-0.1921622377240896
769,Cosmos,General,70.86,2024,8,2024-02-26 00:28:18,12.08,10.4,-0.1390728476821192
907,Decentraland,General,70.52,2024,8,2024-02-26 00:28:21,0.674711,0.487358,-0.2776788877015492
984,TRON,General,70.49,2024,8,2024-02-26 00:28:25,0.140963,0.137362,-0.02554571057653422
5613,Aave,General,70.48,2024,8,2024-02-26 00:30:02,116.98,99.53,-0.14917079842708156
4688,Polkadot,General,70.06,2024,8,2024-02-26 00:29:44,9.19,7.8,-0.15125136017410226
994,VeChain,General,70.01,2024,8,2024-02-26 00:28:27,0.050186,0.0443853,-0.115584027418005
986,Monero,General,69.9,2024,8,2024-02-26 00:28:25,142.88,123.88,-0.13297872340425532
147,Algorand,General,69.88,2024,8,2024-02-26 00:28:02,0.239978,0.194055,-0.19136337497603945
998,Dogecoin,General,69.84,2024,8,2024-02-26 00:28:27,0.140158,0.085832,-0.3876054167439604
5395,Uniswap,General,69.78,2024,8,2024-02-26 00:29:57,12.51,11.21,-0.10391686650679448
985,Tezos,General,69.71,2024,8,2024-02-26 00:28:25,1.38,1.061,-0.23115942028985506
983,Stellar,General,69.6,2024,8,2024-02-26 00:28:25,0.134743,0.11685,-0.13279354029522875
8839,Internet Computer,General,69.5,2024,8,2024-02-26 00:31:04,13.18,12.6,-0.04400606980273142
1069,Hedera Hashgraph,General,69.46,2024,8,2024-02-26 00:28:37,0.114174,0.109182,-0.04372273897735033
1011,Theta Network,General,68.66,2024,8,2024-02-26 00:28:30,2.14,1.15,-0.4626168224299066
2391,Klaytn,General,68.44,2024,8,2024-02-26 00:29:13,0.301385,0.222348,-0.2622459644640577
1062,Fantom,General,68.19,2024,8,2024-02-26 00:28:36,0.535272,0.421131,-0.21323925032506838
7102,Flow - Dapper Labs,General,68.19,2024,8,2024-02-26 00:30:30,1.21,1.001,-0.17272727272727278
1005,Synthetix Network Token,General,68.11,2024,8,2024-02-26 00:28:29,4.57,4.03,-0.11816192560175055
15951,BitTorrent,General,67.8,2024,8,2024-02-26 00:33:54,1.47e-06,1.08e-06,-0.2653061224489795
996,Maker,General,67.55,2024,8,2024-02-26 00:28:27,2121.4,2027.1,-0.044451777128311575
8477,Mina Protocol (IOU),General,67.53,2024,8,2024-02-26 00:30:57,1.4,1.32,-0.05714285714285704
5674,PancakeSwap,General,67.4,2024,8,2024-02-26 00:30:03,3.29,2.76,-0.16109422492401224
809,Crypto.com Coin,General,67.08,2024,8,2024-02-26 00:28:20,0.147896,0.094332,-0.3621734191594093
1032,Zilliqa,General,67.02,2024,8,2024-02-26 00:28:32,0.0306108,0.0226886,-0.2588040822193474
6641,1inch,General,66.77,2024,8,2024-02-26 00:30:22,0.573014,0.438108,-0.23543229310278635
991,Ethereum Classic,General,66.61,2024,8,2024-02-26 00:28:26,33.04,26.08,-0.21065375302663442
881,Dash,General,66.59,2024,8,2024-02-26 00:28:21,37.51,29.98,-0.20074646760863765
993,IOTA,General,66.53,2024,8,2024-02-26 00:28:27,0.326871,0.260469,-0.20314435970153366
1014,Enjin Coin,General,66.41,2024,8,2024-02-26 00:28:30,0.501236,0.323643,-0.35431014532076704
1094,Fetch.ai,General,66.23,2024,8,2024-02-26 00:28:39,1.85,0.82187,-0.555745945945946
659,ChainLink,General,65.97,2024,8,2024-02-26 00:28:15,21.24,18.46,-0.13088512241054603
1036,Polygon,General,65.69,2024,8,2024-02-26 00:28:33,1.086,0.996543,-0.08237292817679569
4696,Curve DAO Token,General,65.47,2024,8,2024-02-26 00:29:45,0.672035,0.521772,-0.2235940092405902
5900,Near,General,65.39,2024,8,2024-02-26 00:30:07,4.25,3.81,-0.10352941176470587
7333,Quickswap,General,65.31,2024,8,2024-02-26 00:30:34,79.67,56.65,-0.2889418852767667
995,Ontology,General,65.2,2024,8,2024-02-26 00:28:27,0.311195,0.251933,-0.19043365092626804
6569,The Graph,General,65.12,2024,8,2024-02-26 00:30:20,0.317406,0.271895,-0.14338418303371714
1007,Nervos Network,General,64.85,2024,8,2024-02-26 00:28:29,0.0154639,0.0107008,-0.30801414908270225
15335,Moonbeam,General,64.67,2024,8,2024-02-26 00:33:39,0.502043,0.440717,-0.12215288331875952
1150,Thorchain,General,64.67,2024,8,2024-02-26 00:28:45,5.66,5.43,-0.04063604240282693
1087,Kava,General,64.34,2024,8,2024-02-26 00:28:39,0.958542,0.736164,-0.23199609406786553
