id_project,name,top,score,year,week,created_at
345,Binance Coin,General,75.13,2023,34,2023-08-27 20:02:43
979,XRP,General,74.12,2023,34,2023-08-27 20:02:44
5518,Avalanche,General,73.41,2023,34,2023-08-27 20:02:55
10418,The Open Network,General,71.94,2023,34,2023-08-27 20:03:11
621,Cardano,General,70.35,2023,34,2023-08-27 20:02:43
8839,Internet Computer,General,70.16,2023,34,2023-08-27 20:03:05
5395,Uniswap,General,70.13,2023,34,2023-08-27 20:02:55
998,Dogecoin,General,70.09,2023,34,2023-08-27 20:02:45
3747,Solana,General,69.78,2023,34,2023-08-27 20:02:52
986,Monero,General,69.57,2023,34,2023-08-27 20:02:45
988,OKB,General,69.49,2023,34,2023-08-27 20:02:45
984,TRON,General,69.41,2023,34,2023-08-27 20:02:45
809,Crypto.com Coin,General,69.35,2023,34,2023-08-27 20:02:44
659,ChainLink,General,69.34,2023,34,2023-08-27 20:02:44
1036,Polygon,General,69.28,2023,34,2023-08-27 20:02:45
983,Stellar,General,69.28,2023,34,2023-08-27 20:02:44
981,Litecoin,General,69.12,2023,34,2023-08-27 20:02:44
3288,Filecoin,General,68.97,2023,34,2023-08-27 20:02:51
4688,Polkadot,General,68.95,2023,34,2023-08-27 20:02:54
3844,Trust Wallet Token,General,68.69,2023,34,2023-08-27 20:02:52
18126,Optimism,General,68.63,2023,34,2023-08-27 20:03:42
994,VeChain,General,68.37,2023,34,2023-08-27 20:02:45
1069,Hedera Hashgraph,General,68.21,2023,34,2023-08-27 20:02:45
769,Cosmos,General,68.20,2023,34,2023-08-27 20:02:44
21811,Arbitrum,General,68.00,2023,34,2023-08-27 20:03:58
987,LEO Token,General,67.34,2023,34,2023-08-27 20:02:45
5613,Aave,General,67.11,2023,34,2023-08-27 20:02:56
6569,The Graph,General,66.95,2023,34,2023-08-27 20:02:58
147,Algorand,General,66.33,2023,34,2023-08-27 20:02:42
382,Bitcoin Cash,General,66.26,2023,34,2023-08-27 20:02:43
18408,Kaspa,General,66.03,2023,34,2023-08-27 20:03:44
