category,platform,date,year,week,id_project,project_name,start_price,end_price,performance
General,Polygon,2023-06-24,2023,25,16037,Sheesha Finance Polygon,0.00113137,0.00138145,0.22104174584795422
General,Polygon,2023-06-24,2023,25,16766,Vault Hill City,0.00373934,0.00349328,-0.06580305615429455
General,Polygon,2023-06-24,2023,25,21613,Yellow Duckies,0.02117,0.0107839,-0.49060462919225317
General,Polygon,2023-06-24,2023,25,16534,Rainbow Token,0.0265237,0.0256322,-0.03361144938300463
General,Polygon,2023-06-24,2023,25,18860,tGOLD,60.01,59.91,-0.0016663889351774942
General,Polygon,2023-07-01,2023,26,17936,Quickswap,0.0406669,0.0463487,0.1397155917957848
General,Polygon,2023-07-01,2023,26,10287,Kommunitas,0.0007529,0.00072089,-0.04251560632222084
General,Polygon,2023-07-01,2023,26,13269,Playermon,0.00135705,0.0014581,0.07446298957297069
General,Polygon,2023-07-01,2023,26,16476,Bullieverse,0.00120773,0.00108519,-0.10146307535624682
General,Polygon,2023-07-01,2023,26,12382,Fabwelt,0.00464639,0.00429193,-0.0762871820919036
General,Polygon,2023-07-01,2023,26,13802,IX Token,0.391152,0.371701,-0.04972747167341595
General,Polygon,2023-07-01,2023,26,18132,SPORT,0.0108233,0.00654863,-0.39495070819435846
General,Polygon,2023-07-01,2023,26,12135,Snook,0.0109368,0.0104376,-0.0456440640772438
General,Polygon,2023-07-01,2023,26,16037,Sheesha Finance Polygon,0.00138145,0.00125769,-0.08958702812262485
General,Polygon,2023-07-01,2023,26,16534,Rainbow Token,0.0256322,0.0251102,-0.020365009636316884
General,Polygon,2023-07-08,2023,27,17936,Quickswap,0.0463487,0.051222,0.10514426510344405
General,Polygon,2023-07-08,2023,27,13269,Playermon,0.0014581,0.00132951,-0.08819011041766686
General,Polygon,2023-07-08,2023,27,10287,Kommunitas,0.00072089,0.00072314,0.0031211419217912328
General,Polygon,2023-07-08,2023,27,16476,Bullieverse,0.00108519,0.00100358,-0.07520342059915773
General,Polygon,2023-07-08,2023,27,12382,Fabwelt,0.00429193,0.00439043,0.022950048113552557
General,Polygon,2023-07-08,2023,27,13802,IX Token,0.371701,0.336279,-0.0952970263733485
General,Polygon,2023-07-08,2023,27,12135,Snook,0.0104376,0.00988043,-0.05338104545106147
General,Polygon,2023-07-08,2023,27,16037,Sheesha Finance Polygon,0.00125769,0.00057392,-0.543671333953518
General,Polygon,2023-07-08,2023,27,16766,Vault Hill City,0.00346063,0.00343073,-0.008640045309669117
General,Polygon,2023-07-08,2023,27,16534,Rainbow Token,0.0251102,0.0222063,-0.11564623141193608
General,Polygon,2023-07-15,2023,28,17936,Quickswap,0.051222,0.074208,0.44875248916481203
General,Polygon,2023-07-15,2023,28,18792,Tutellus,0.050758,0.050374,-0.0075653099018872984
General,Polygon,2023-07-15,2023,28,10287,Kommunitas,0.00072314,0.00081807,0.13127471858837833
General,Polygon,2023-07-15,2023,28,13269,Playermon,0.00132951,0.00131035,-0.014411324472925995
General,Polygon,2023-07-15,2023,28,16476,Bullieverse,0.00100358,0.00104431,0.04058470674983548
General,Polygon,2023-07-15,2023,28,12382,Fabwelt,0.00439043,0.00502365,0.14422733080814415
General,Polygon,2023-07-15,2023,28,12135,Snook,0.00988043,0.0155429,0.5730995513353163
General,Polygon,2023-07-09,2023,28,17063,MetaShooter,0.0101954,0.00997912,-0.021213488435961412
General,Polygon,2023-07-15,2023,28,16766,Vault Hill City,0.00343073,0.0037078,0.0807612374042842
General,Polygon,2023-07-15,2023,28,13802,IX Token,0.336279,0.321297,-0.04455229140089032
General,Polygon,2023-07-22,2023,29,17936,Quickswap,0.074208,0.055815,-0.24785737386804657
General,Polygon,2023-07-22,2023,29,18792,Tutellus,0.050374,0.050156,-0.004327629332592268
General,Polygon,2023-07-22,2023,29,10287,Kommunitas,0.00081807,0.00072045,-0.1193296417177014
General,Polygon,2023-07-22,2023,29,12382,Fabwelt,0.00502365,0.00488032,-0.028531048142287088
General,Polygon,2023-07-22,2023,29,13802,IX Token,0.321297,0.304471,-0.052368991929585426
General,Polygon,2023-07-22,2023,29,16534,Rainbow Token,0.0232248,0.019987,-0.13941131893493158
General,Polygon,2023-07-29,2023,30,17936,Quickswap,0.055815,0.0480406,-0.1392887216698019
General,Polygon,2023-07-29,2023,30,16534,Rainbow Token,0.019987,0.0201142,0.006364136688847623
General,Polygon,2023-07-23,2023,30,17063,MetaShooter,0.0108587,0.0107577,-0.009301297577058063
General,Polygon,2023-08-05,2023,31,17936,Quickswap,0.0480406,0.0451994,-0.05914164269388813
General,Polygon,2023-07-30,2023,31,13269,Playermon,0.00120879,0.00109083,-0.09758518849427929
General,Polygon,2023-07-30,2023,31,16476,Bullieverse,0.00108721,0.00097156,-0.10637319377121247
General,Polygon,2023-08-05,2023,31,13802,IX Token,0.258115,0.249851,-0.03201673672587798
General,Polygon,2023-07-30,2023,31,16037,Sheesha Finance Polygon,0.00144751,0.00160331,0.10763310788871924
General,Polygon,2023-07-30,2023,31,16766,Vault Hill City,0.00333801,0.00278976,-0.16424456487547973
General,Polygon,2023-08-05,2023,31,16534,Rainbow Token,0.0201142,0.0171241,-0.14865617325073824
General,Polygon,2023-08-12,2023,32,17936,Quickswap,0.0451994,0.047181,0.04384128992862737
General,Polygon,2023-08-12,2023,32,10287,Kommunitas,0.00071162,0.0007387,0.038054017593659485
General,Polygon,2023-08-12,2023,32,13269,Playermon,0.00109083,0.00103868,-0.04780763272003901
General,Polygon,2023-08-12,2023,32,16476,Bullieverse,0.00097156,0.00087213,-0.10234056568817156
General,Polygon,2023-08-12,2023,32,12382,Fabwelt,0.00606534,0.0079499,0.31070970464969805
General,Polygon,2023-08-12,2023,32,13802,IX Token,0.249851,0.232256,-0.07042197149501103
General,Polygon,2023-08-12,2023,32,12135,Snook,0.0124229,0.0108238,-0.12872195703096706
General,Polygon,2023-08-12,2023,32,16766,Vault Hill City,0.00278976,0.00251199,-0.09956770474879563
General,Polygon,2023-08-12,2023,32,16534,Rainbow Token,0.0171241,0.0157621,-0.07953702676345026
General,Polygon,2023-08-12,2023,32,18132,SPORT,0.00316557,0.00399687,0.2626067343322055
General,Polygon,2023-08-19,2023,33,17936,Quickswap,0.047181,0.0411713,-0.1273754265488226
General,Polygon,2023-08-19,2023,33,18792,Tutellus,0.034072,0.034072,0.0
General,Polygon,2023-08-19,2023,33,10287,Kommunitas,0.0007387,0.00074608,0.009990523893326077
General,Polygon,2023-08-19,2023,33,16476,Bullieverse,0.00087213,0.00078351,-0.10161329159643641
General,Polygon,2023-08-19,2023,33,13269,Playermon,0.00103868,0.00091482,-0.11924750645049481
General,Polygon,2023-08-19,2023,33,12135,Snook,0.0108238,0.011046,0.020528834605221875
General,Polygon,2023-08-19,2023,33,16534,Rainbow Token,0.0157621,0.0127307,-0.1923220890617368
General,Polygon,2023-08-19,2023,33,16766,Vault Hill City,0.00251199,0.00250329,-0.003463389583557236
General,Polygon,2023-08-19,2023,33,18132,SPORT,0.00399687,0.00544056,0.36120514302441664
General,Polygon,2023-08-19,2023,33,19096,tSILVER,0.728184,0.720484,-0.01057425046416845
General,Polygon,2023-08-26,2023,34,17936,Quickswap,0.0411713,0.0399676,-0.02923638554041291
General,Polygon,2023-08-26,2023,34,10287,Kommunitas,0.00074608,0.00068175,-0.08622399742654947
General,Polygon,2023-08-26,2023,34,13269,Playermon,0.00091482,0.00092616,0.012395881156948889
General,Polygon,2023-08-26,2023,34,16476,Bullieverse,0.00078351,0.00082531,0.05334967007440881
General,Polygon,2023-08-26,2023,34,12382,Fabwelt,0.00681243,0.00666251,-0.022006831629829655
General,Polygon,2023-08-26,2023,34,12135,Snook,0.011046,0.00942531,-0.14672189027702345
General,Polygon,2023-08-26,2023,34,18132,SPORT,0.00544056,0.0052498,-0.03506256708868203
General,Polygon,2023-08-26,2023,34,13802,IX Token,0.184445,0.201708,0.09359429640272168
General,Polygon,2023-08-26,2023,34,16534,Rainbow Token,0.0127307,0.011988,-0.058339290062604486
General,Polygon,2023-08-26,2023,34,19096,tSILVER,0.720484,0.711124,-0.012991266981640168
General,Polygon,2023-09-02,2023,35,17936,Quickswap,0.0399676,0.0404451,0.011947177213542938
General,Polygon,2023-09-02,2023,35,10287,Kommunitas,0.00068175,0.00062767,-0.07932526585991928
General,Polygon,2023-09-02,2023,35,13269,Playermon,0.00092616,0.00087961,-0.050261293944890754
General,Polygon,2023-09-02,2023,35,16476,Bullieverse,0.00082531,0.0008011,-0.02933443191043364
General,Polygon,2023-09-02,2023,35,18792,Tutellus,0.034072,0.034072,0.0
General,Polygon,2023-09-02,2023,35,12382,Fabwelt,0.00666251,0.00756875,0.13602080897439553
General,Polygon,2023-09-02,2023,35,13802,IX Token,0.201708,0.17966,-0.10930652229956181
General,Polygon,2023-09-02,2023,35,12135,Snook,0.00942531,0.00963976,0.022752567289564107
General,Polygon,2023-09-02,2023,35,16534,Rainbow Token,0.011988,0.010891,-0.09150817484150824
General,Polygon,2023-09-02,2023,35,18132,SPORT,0.0052498,0.00674572,0.28494799801897225
General,Polygon,2023-09-09,2023,36,17936,Quickswap,0.0404451,0.0424213,0.04886129592954411
General,Polygon,2023-09-09,2023,36,10287,Kommunitas,0.00062767,0.00060833,-0.03081236955725136
General,Polygon,2023-09-09,2023,36,16476,Bullieverse,0.0008011,0.0008423,0.05142928473349148
General,Polygon,2023-09-09,2023,36,13269,Playermon,0.00087961,0.00121883,0.3856481849910756
General,Polygon,2023-09-09,2023,36,12135,Snook,0.00963976,0.00992897,0.03000178427678695
General,Polygon,2023-09-09,2023,36,12382,Fabwelt,0.00756875,0.015673,1.0707514450867053
General,Polygon,2023-09-09,2023,36,18132,SPORT,0.00674572,0.00415916,-0.38343720166268386
General,Polygon,2023-09-09,2023,36,18792,Tutellus,0.034072,0.0168686,-0.504913125146748
General,Polygon,2023-09-09,2023,36,16037,Sheesha Finance Polygon,0.00091836,0.00089636,-0.02395574720153316
General,Polygon,2023-09-09,2023,36,13802,IX Token,0.17966,0.145213,-0.19173438717577634
General,Polygon,2023-09-16,2023,37,17936,Quickswap,0.0424213,0.0414372,-0.02319825182160852
General,Polygon,2023-09-16,2023,37,10287,Kommunitas,0.00060833,0.00068297,0.12269656272089154
General,Polygon,2023-09-16,2023,37,13285,Safeswap Token,0.00143906,0.00035641,-0.752331382986116
General,Polygon,2023-09-16,2023,37,16476,Bullieverse,0.0008423,0.00083265,-0.011456725632197608
General,Polygon,2023-09-16,2023,37,13269,Playermon,0.00121883,0.00101183,-0.16983500570218976
General,Polygon,2023-09-16,2023,37,18792,Tutellus,0.0168686,0.0172294,0.021388852661157292
General,Polygon,2023-09-16,2023,37,12382,Fabwelt,0.015673,0.0137984,-0.11960696739615893
General,Polygon,2023-09-16,2023,37,12135,Snook,0.00992897,0.00928016,-0.06534514657613022
General,Polygon,2023-09-16,2023,37,16534,Rainbow Token,0.0188808,0.0248143,0.314261048260667
General,Polygon,2023-09-16,2023,37,16037,Sheesha Finance Polygon,0.00089636,0.0008629,-0.03732875184077828
General,Polygon,2023-09-23,2023,38,17936,Quickswap,0.0414372,0.0412721,-0.003984342571409298
General,Polygon,2023-09-23,2023,38,10287,Kommunitas,0.00068297,0.00065287,-0.04407221400647177
General,Polygon,2023-09-23,2023,38,18792,Tutellus,0.0172294,0.0171088,-0.006999663366106684
General,Polygon,2023-09-23,2023,38,16476,Bullieverse,0.00083265,0.00083928,0.007962529274004662
General,Polygon,2023-09-23,2023,38,13269,Playermon,0.00101183,0.0010105,-0.0013144500558395426
General,Polygon,2023-09-23,2023,38,12382,Fabwelt,0.0137984,0.0111628,-0.1910076530612245
General,Polygon,2023-09-23,2023,38,12135,Snook,0.00928016,0.00790117,-0.14859549835347666
General,Polygon,2023-09-23,2023,38,16534,Rainbow Token,0.0248143,0.0204243,-0.17691411806901672
General,Polygon,2023-09-17,2023,38,17063,MetaShooter,0.00973755,0.0091122,-0.06422046613367824
General,Polygon,2023-09-23,2023,38,15802,Affyn,0.0155003,0.01284,-0.17162893621413775
General,Polygon,2023-09-30,2023,39,17936,Quickswap,0.0412721,0.0423069,0.025072627755796346
General,Polygon,2023-09-30,2023,39,18792,Tutellus,0.0171088,0.0152605,-0.10803212381932109
General,Polygon,2023-09-30,2023,39,10287,Kommunitas,0.00065287,0.00059916,-0.0822675264600916
General,Polygon,2023-09-30,2023,39,16476,Bullieverse,0.00083928,0.00081711,-0.026415498999142074
General,Polygon,2023-09-30,2023,39,13269,Playermon,0.0010105,0.00103559,0.024829292429490533
General,Polygon,2023-09-30,2023,39,12135,Snook,0.00790117,0.00712096,-0.09874613506607259
General,Polygon,2023-09-30,2023,39,16534,Rainbow Token,0.0204243,0.0222118,0.08751829928075876
General,Polygon,2023-09-24,2023,39,17063,MetaShooter,0.0091122,0.00742094,-0.18560391562959555
General,Polygon,2023-09-30,2023,39,18112,Battle World,0.0357652,0.0394358,0.10263048997349387
General,Polygon,2023-09-30,2023,39,12155,FireStarter,0.0210996,0.0208148,-0.01349788621585235
General,Polygon,2023-10-07,2023,40,17936,Quickswap,0.0423069,0.0454079,0.07329773630306166
General,Polygon,2023-10-07,2023,40,10287,Kommunitas,0.00059916,0.00060031,0.001919353761933375
General,Polygon,2023-10-07,2023,40,16476,Bullieverse,0.00081711,0.00081114,-0.007306237838234753
General,Polygon,2023-10-07,2023,40,18792,Tutellus,0.0152605,0.0160969,0.054808164870089514
General,Polygon,2023-10-07,2023,40,13269,Playermon,0.00103559,0.001026,-0.00926042159541911
General,Polygon,2023-10-07,2023,40,12135,Snook,0.00712096,0.00704257,-0.01100834718914307
General,Polygon,2023-10-07,2023,40,16534,Rainbow Token,0.0222118,0.0186782,-0.15908661162085025
General,Polygon,2023-10-07,2023,40,13802,IX Token,0.098372,0.077762,-0.20951083641686663
General,Polygon,2023-10-07,2023,40,15802,Affyn,0.0157946,0.015336,-0.029035239892114918
General,Polygon,2023-10-07,2023,40,18112,Battle World,0.0394358,0.037817,-0.04104899608984721
General,Polygon,2023-10-14,2023,41,17936,Quickswap,0.0454079,0.0412903,-0.09068025607878803
