category,date,year,week,id_project,project_name,start_price,end_price,performance
4Chan,2024-01-06,2024,1,11145,Waggle Network,0.00449988,0.00383339,-0.14811283856458404
4Chan,2024-01-06,2024,1,13194,KILT Protocol,0.427732,0.404673,-0.0539099249062497
4Chan,2024-01-06,2024,1,13197,UniX,0.0321895,0.0345817,0.07431615899594579
4Chan,2024-01-06,2024,1,5518,Avalanche,39.65,34.67,-0.1255989911727616
4Chan,2024-01-06,2024,1,12173,Decentral Games ICE,0.00242254,0.00248944,0.02761564308535667
4Chan,2024-01-06,2024,1,18832,Teritori,0.0210544,0.0176055,-0.1638089900448363
4Chan,2024-01-06,2024,1,408,Bitcoin SV,92.79,81.48,-0.12188813449725187
4Chan,2024-01-06,2024,1,20381,Solidly,2.8,2.53,-0.09642857142857145
4Chan,2024-01-06,2024,1,7587,OG Fan Token,4.88,4.62,-0.05327868852459012
4Chan,2024-01-06,2024,1,18853,Cronos ID,0.339794,0.255812,-0.24715562958733822
4Chan,2024-01-06,2024,1,16295,TOR,1.26,3.81,2.0238095238095237
4Chan,2024-01-06,2024,1,22438,PlayZap,0.323801,0.299363,-0.0754722808144509
4Chan,2024-01-06,2024,1,18864,MANGOMAN INTELLIGENT,1.04298e-07,7.2213e-08,-0.3076281424380142
4Chan,2024-01-06,2024,1,6583,Staked Ether,2299.28,2241.89,-0.024959987474339935
4Chan,2024-01-06,2024,1,18874,Stader NearX,1.071,4.07,2.8001867413632127
4Chan,2024-01-06,2024,1,22461,ADreward,1.838e-05,1.603e-05,-0.12785636561479866
4Chan,2024-01-06,2024,1,15294,Netswap,0.938869,1.56,0.6615736593710093
4Chan,2024-01-06,2024,1,17345,Drunk Robots,0.00049004,0.00098226,1.0044486164394744
4Chan,2024-01-06,2024,1,22475,First Digital USD,1.001,1.001,0.0
4Chan,2024-01-06,2024,1,22476,HarryPotterObamaSonic10Inu (ETH),0.080006,0.085588,0.06976976726745499
4Chan,2024-01-06,2024,1,13261,Flux Token,0.061469,0.152513,1.4811368332004753
4Chan,2024-01-06,2024,1,978,Ethereum,2300.18,2242.24,-0.02518933300872108
4Chan,2024-01-06,2024,1,979,XRP,0.624151,0.568117,-0.08977635219682421
4Chan,2024-01-06,2024,1,22484,CryptoPawCoin,2.24131e-07,2.00109e-07,-0.10717839120871277
4Chan,2024-01-06,2024,1,981,Litecoin,73.15,65.51,-0.10444292549555707
4Chan,2024-01-06,2024,1,980,Tether,0.999747,1.001,0.001253317089223411
4Chan,2024-01-06,2024,1,983,Stellar,0.133472,0.119545,-0.10434398225845128
4Chan,2024-01-06,2024,1,18900,stake.link,0.352348,0.321265,-0.08821676297296982
4Chan,2024-01-06,2024,1,22489,Beam,0.017291,0.0184632,0.06779249320455719
4Chan,2024-01-06,2024,1,986,Monero,165.56,153.77,-0.07121285334621884
4Chan,2024-01-06,2024,1,5083,Shiba Inu,1.052e-05,9.61e-06,-0.0865019011406844
4Chan,2024-01-06,2024,1,987,LEO Token,3.96,4.03,0.01767676767676775
4Chan,2024-01-06,2024,1,22488,Memecoin,0.0281969,0.0249111,-0.11653054059134167
4Chan,2024-01-06,2024,1,22491,CorgiAI,0.00219541,0.00160331,-0.2696990539352559
4Chan,2024-01-06,2024,1,991,Ethereum Classic,22.36,19.9,-0.11001788908765657
4Chan,2024-01-06,2024,1,992,USD Coin,1.0,1.0,0.0
4Chan,2024-01-06,2024,1,22495,DOMO,1.42,0.636465,-0.5517852112676056
4Chan,2024-01-06,2024,1,17373,Meeds DAO,1.16,1.055,-0.09051724137931033
4Chan,2024-01-06,2024,1,18907,Revenant,1.36,1.58,0.16176470588235292
4Chan,2024-01-06,2024,1,996,Maker,1588.82,1742.58,0.09677622386425146
