category,date,performance
Gems<25,2023-04-01,-0.00257805450962323
Gems<25,2023-04-08,-0.04924610539822965
Gems<25,2023-04-09,0.0111325164224355
Gems<25,2023-04-15,0.01415111374366147
Gems<25,2023-04-22,-0.07079994114256832
Gems<25,2023-04-29,-0.06117179036453432
Gems<25,2023-05-06,-0.07289931665602653
Gems<25,2023-05-21,-0.00454114264021855
Gems<25,2023-05-28,0.09290830968423645
Gems<25,2023-05-29,-0.1022901007772413
Gems<25,2023-06-04,0.0327035370868421
Gems<25,2023-06-11,-0.052842663727993074
Gems<25,2023-06-24,0.02055567368732836
Gems<25,2023-07-01,-0.02074885019565097
Gems<25,2023-07-08,0.015369191560752999
Gems<25,2023-07-15,0.05769461023099716
Gems<25,2023-07-22,-0.024972317621580302
Gems<25,2023-07-29,-0.042730512525060105
