,id_project,week,year,top,score,created_at,name,week_associated
147,986,2,2024,General,65.50,2024-01-15 10:33:09,Monero,6
148,979,2,2024,General,65.46,2024-01-15 10:33:09,XRP,6
149,1118,2,2024,General,65.42,2024-01-15 10:33:12,VeThor Token,6
150,376,3,2024,General,90.79,2024-01-22 10:03:14,Bitcoin,6
151,978,3,2024,General,77.44,2024-01-22 10:03:16,Ethereum,6
152,8839,3,2024,General,74.94,2024-01-22 10:03:46,Internet Computer,6
153,345,3,2024,General,74.66,2024-01-22 10:03:14,Binance Coin,6
154,979,3,2024,General,72.88,2024-01-22 10:03:16,XRP,6
155,621,3,2024,General,71.50,2024-01-22 10:03:15,Cardano,6
156,1069,3,2024,General,71.20,2024-01-22 10:03:17,Hedera Hashgraph,6
157,984,3,2024,General,70.70,2024-01-22 10:03:16,TRON,6
158,769,3,2024,General,70.42,2024-01-22 10:03:15,Cosmos,6
159,1036,3,2024,General,70.13,2024-01-22 10:03:17,Polygon,6
160,4688,3,2024,General,70.08,2024-01-22 10:03:30,Polkadot,6
161,5613,3,2024,General,69.69,2024-01-22 10:03:33,Aave,6
162,3844,3,2024,General,69.60,2024-01-22 10:03:28,Trust Wallet Token,6
163,8477,3,2024,General,69.53,2024-01-22 10:03:44,Mina Protocol (IOU),6
164,15951,3,2024,General,69.19,2024-01-22 10:04:29,BitTorrent,6
165,6569,3,2024,General,68.28,2024-01-22 10:03:37,The Graph,6
166,1087,3,2024,General,67.95,2024-01-22 10:03:17,Kava,6
167,5674,3,2024,General,67.86,2024-01-22 10:03:34,PancakeSwap,6
168,907,3,2024,General,66.75,2024-01-22 10:03:16,Decentraland,6
169,996,3,2024,General,66.27,2024-01-22 10:03:16,Maker,6
170,1011,3,2024,General,66.17,2024-01-22 10:03:17,Theta Network,6
171,986,3,2024,General,65.74,2024-01-22 10:03:16,Monero,6
172,1014,3,2024,General,65.70,2024-01-22 10:03:17,Enjin Coin,6
173,1032,3,2024,General,65.40,2024-01-22 10:03:17,Zilliqa,6
174,985,3,2024,General,65.37,2024-01-22 10:03:16,Tezos,6
175,7102,3,2024,General,65.03,2024-01-22 10:03:39,Flow - Dapper Labs,6
176,1118,3,2024,General,64.60,2024-01-22 10:03:17,VeThor Token,6
177,659,3,2024,General,64.35,2024-01-22 10:03:15,ChainLink,6
178,4708,3,2024,General,64.30,2024-01-22 10:03:30,SAND,6
179,1081,3,2024,General,64.29,2024-01-22 10:03:17,Harmony,6
180,376,4,2024,General,90.18,2024-01-29 10:12:05,Bitcoin,6
181,978,4,2024,General,75.67,2024-01-29 10:12:13,Ethereum,6
182,345,4,2024,General,73.65,2024-01-29 10:12:05,Binance Coin,6
183,979,4,2024,General,72.38,2024-01-29 10:12:13,XRP,6
184,5518,4,2024,General,72.19,2024-01-29 10:13:09,Avalanche,6
185,8839,4,2024,General,71.37,2024-01-29 10:13:47,Internet Computer,6
186,1069,4,2024,General,71.19,2024-01-29 10:12:16,Hedera Hashgraph,6
187,984,4,2024,General,70.89,2024-01-29 10:12:13,TRON,6
188,1036,4,2024,General,70.75,2024-01-29 10:12:15,Polygon,6
189,769,4,2024,General,70.64,2024-01-29 10:12:10,Cosmos,6
190,4688,4,2024,General,70.57,2024-01-29 10:13:00,Polkadot,6
191,994,4,2024,General,70.54,2024-01-29 10:12:13,VeChain,6
192,621,4,2024,General,70.42,2024-01-29 10:12:08,Cardano,6
193,6569,4,2024,General,70.35,2024-01-29 10:13:21,The Graph,6
194,5613,4,2024,General,70.07,2024-01-29 10:13:10,Aave,6
195,147,4,2024,General,69.83,2024-01-29 10:12:02,Algorand,6
196,8477,4,2024,General,69.71,2024-01-29 10:13:43,Mina Protocol (IOU),6
197,3844,4,2024,General,69.61,2024-01-29 10:12:51,Trust Wallet Token,6
198,15951,4,2024,General,68.65,2024-01-29 10:15:40,BitTorrent,6
199,1087,4,2024,General,68.42,2024-01-29 10:12:16,Kava,6
200,2391,4,2024,General,67.88,2024-01-29 10:12:34,Klaytn,6
201,986,4,2024,General,66.99,2024-01-29 10:12:13,Monero,6
202,996,4,2024,General,66.70,2024-01-29 10:12:13,Maker,6
203,15335,4,2024,General,66.60,2024-01-29 10:15:31,Moonbeam,6
204,907,4,2024,General,66.39,2024-01-29 10:12:12,Decentraland,6
205,1011,4,2024,General,66.25,2024-01-29 10:12:14,Theta Network,6
206,1014,4,2024,General,66.23,2024-01-29 10:12:14,Enjin Coin,6
207,1005,4,2024,General,66.10,2024-01-29 10:12:14,Synthetix Network Token,6
208,10410,4,2024,General,65.85,2024-01-29 10:14:11,Moonriver,6
209,659,4,2024,General,65.78,2024-01-29 10:12:09,ChainLink,6
210,376,5,2024,General,91.88,2024-02-05 09:33:37,Bitcoin,6
211,978,5,2024,General,78.65,2024-02-05 09:33:56,Ethereum,6
212,979,5,2024,General,75.60,2024-02-05 09:33:56,XRP,6
213,345,5,2024,General,74.89,2024-02-05 09:33:36,Binance Coin,6
214,8839,5,2024,General,73.07,2024-02-05 09:37:08,Internet Computer,6
215,5518,5,2024,General,72.99,2024-02-05 09:35:49,Avalanche,6
216,621,5,2024,General,72.12,2024-02-05 09:33:44,Cardano,6
217,3844,5,2024,General,71.77,2024-02-05 09:35:15,Trust Wallet Token,6
218,907,5,2024,General,71.66,2024-02-05 09:33:53,Decentraland,6
219,986,5,2024,General,71.61,2024-02-05 09:33:58,Monero,6
220,769,5,2024,General,71.43,2024-02-05 09:33:49,Cosmos,6
221,1036,5,2024,General,71.35,2024-02-05 09:34:06,Polygon,6
222,984,5,2024,General,71.02,2024-02-05 09:33:57,TRON,6
223,5613,5,2024,General,70.98,2024-02-05 09:35:52,Aave,6
224,4688,5,2024,General,70.79,2024-02-05 09:35:30,Polkadot,6
225,147,5,2024,General,70.73,2024-02-05 09:33:29,Algorand,6
226,1062,5,2024,General,70.37,2024-02-05 09:34:09,Fantom,6
227,1069,5,2024,General,70.36,2024-02-05 09:34:10,Hedera Hashgraph,6
228,994,5,2024,General,70.25,2024-02-05 09:33:59,VeChain,6
229,3747,5,2024,General,70.16,2024-02-05 09:35:12,Solana,6
230,5395,5,2024,General,70.03,2024-02-05 09:35:47,Uniswap,6
231,1011,5,2024,General,69.92,2024-02-05 09:34:02,Theta Network,6
232,659,5,2024,General,69.73,2024-02-05 09:33:46,ChainLink,6
233,998,5,2024,General,69.27,2024-02-05 09:34:00,Dogecoin,6
234,985,5,2024,General,69.10,2024-02-05 09:33:58,Tezos,6
235,1005,5,2024,General,68.99,2024-02-05 09:34:01,Synthetix Network Token,6
236,8477,5,2024,General,68.78,2024-02-05 09:37:00,Mina Protocol (IOU),6
237,15951,5,2024,General,68.58,2024-02-05 09:40:15,BitTorrent,6
238,991,5,2024,General,68.07,2024-02-05 09:33:59,Ethereum Classic,6
239,5674,5,2024,General,68.05,2024-02-05 09:35:54,PancakeSwap,6
240,376,3,2024,General,90.79,2024-01-22 10:03:14,Bitcoin,7
241,978,3,2024,General,77.44,2024-01-22 10:03:16,Ethereum,7
242,8839,3,2024,General,74.94,2024-01-22 10:03:46,Internet Computer,7
243,345,3,2024,General,74.66,2024-01-22 10:03:14,Binance Coin,7
244,979,3,2024,General,72.88,2024-01-22 10:03:16,XRP,7
245,621,3,2024,General,71.50,2024-01-22 10:03:15,Cardano,7
246,1069,3,2024,General,71.20,2024-01-22 10:03:17,Hedera Hashgraph,7
247,984,3,2024,General,70.70,2024-01-22 10:03:16,TRON,7
248,769,3,2024,General,70.42,2024-01-22 10:03:15,Cosmos,7
249,1036,3,2024,General,70.13,2024-01-22 10:03:17,Polygon,7
250,4688,3,2024,General,70.08,2024-01-22 10:03:30,Polkadot,7
251,5613,3,2024,General,69.69,2024-01-22 10:03:33,Aave,7
252,3844,3,2024,General,69.60,2024-01-22 10:03:28,Trust Wallet Token,7
253,8477,3,2024,General,69.53,2024-01-22 10:03:44,Mina Protocol (IOU),7
254,15951,3,2024,General,69.19,2024-01-22 10:04:29,BitTorrent,7
255,6569,3,2024,General,68.28,2024-01-22 10:03:37,The Graph,7
256,1087,3,2024,General,67.95,2024-01-22 10:03:17,Kava,7
257,5674,3,2024,General,67.86,2024-01-22 10:03:34,PancakeSwap,7
258,907,3,2024,General,66.75,2024-01-22 10:03:16,Decentraland,7
259,996,3,2024,General,66.27,2024-01-22 10:03:16,Maker,7
260,1011,3,2024,General,66.17,2024-01-22 10:03:17,Theta Network,7
261,986,3,2024,General,65.74,2024-01-22 10:03:16,Monero,7
262,1014,3,2024,General,65.70,2024-01-22 10:03:17,Enjin Coin,7
263,1032,3,2024,General,65.40,2024-01-22 10:03:17,Zilliqa,7
264,985,3,2024,General,65.37,2024-01-22 10:03:16,Tezos,7
265,7102,3,2024,General,65.03,2024-01-22 10:03:39,Flow - Dapper Labs,7
266,1118,3,2024,General,64.60,2024-01-22 10:03:17,VeThor Token,7
267,659,3,2024,General,64.35,2024-01-22 10:03:15,ChainLink,7
268,4708,3,2024,General,64.30,2024-01-22 10:03:30,SAND,7
269,1081,3,2024,General,64.29,2024-01-22 10:03:17,Harmony,7
270,376,4,2024,General,90.18,2024-01-29 10:12:05,Bitcoin,7
271,978,4,2024,General,75.67,2024-01-29 10:12:13,Ethereum,7
272,345,4,2024,General,73.65,2024-01-29 10:12:05,Binance Coin,7
273,979,4,2024,General,72.38,2024-01-29 10:12:13,XRP,7
274,5518,4,2024,General,72.19,2024-01-29 10:13:09,Avalanche,7
275,8839,4,2024,General,71.37,2024-01-29 10:13:47,Internet Computer,7
276,1069,4,2024,General,71.19,2024-01-29 10:12:16,Hedera Hashgraph,7
277,984,4,2024,General,70.89,2024-01-29 10:12:13,TRON,7
278,1036,4,2024,General,70.75,2024-01-29 10:12:15,Polygon,7
279,769,4,2024,General,70.64,2024-01-29 10:12:10,Cosmos,7
280,4688,4,2024,General,70.57,2024-01-29 10:13:00,Polkadot,7
281,994,4,2024,General,70.54,2024-01-29 10:12:13,VeChain,7
282,621,4,2024,General,70.42,2024-01-29 10:12:08,Cardano,7
283,6569,4,2024,General,70.35,2024-01-29 10:13:21,The Graph,7
284,5613,4,2024,General,70.07,2024-01-29 10:13:10,Aave,7
285,147,4,2024,General,69.83,2024-01-29 10:12:02,Algorand,7
286,8477,4,2024,General,69.71,2024-01-29 10:13:43,Mina Protocol (IOU),7
287,3844,4,2024,General,69.61,2024-01-29 10:12:51,Trust Wallet Token,7
288,15951,4,2024,General,68.65,2024-01-29 10:15:40,BitTorrent,7
289,1087,4,2024,General,68.42,2024-01-29 10:12:16,Kava,7
290,2391,4,2024,General,67.88,2024-01-29 10:12:34,Klaytn,7
291,986,4,2024,General,66.99,2024-01-29 10:12:13,Monero,7
292,996,4,2024,General,66.70,2024-01-29 10:12:13,Maker,7
293,15335,4,2024,General,66.60,2024-01-29 10:15:31,Moonbeam,7
294,907,4,2024,General,66.39,2024-01-29 10:12:12,Decentraland,7
295,1011,4,2024,General,66.25,2024-01-29 10:12:14,Theta Network,7
296,1014,4,2024,General,66.23,2024-01-29 10:12:14,Enjin Coin,7
297,1005,4,2024,General,66.10,2024-01-29 10:12:14,Synthetix Network Token,7
298,10410,4,2024,General,65.85,2024-01-29 10:14:11,Moonriver,7
299,659,4,2024,General,65.78,2024-01-29 10:12:09,ChainLink,7
300,376,5,2024,General,91.88,2024-02-05 09:33:37,Bitcoin,7
301,978,5,2024,General,78.65,2024-02-05 09:33:56,Ethereum,7
302,979,5,2024,General,75.60,2024-02-05 09:33:56,XRP,7
