week_associated,id_project,appearance_count,performance_mean,score_mean,name
8,1069,4,0.10888829700322644,71.56,Hedera Hashgraph
8,1087,1,-0.01411208398506,68.42,Kava
8,2391,2,0.00448582662710165,69.66999999999999,Klaytn
8,3747,3,0.02289990400065513,70.34666666666668,Solana
8,3844,4,0.03930083830265322,71.0325,Trust Wallet Token
8,4688,4,0.038867852729049225,70.51,Polkadot
8,5395,3,0.23249304118858274,70.01,Uniswap
8,5518,4,0.031001675898738423,72.5075,Avalanche
8,5613,4,0.020955274443534948,70.53999999999999,Aave
8,5674,2,0.06365266393442615,68.025,PancakeSwap
8,6569,2,0.08281852683480774,69.46,The Graph
8,7102,1,0.0799590457089158,69.44,Flow - Dapper Labs
8,8477,4,0.04858045574445475,69.63,Mina Protocol (IOU)
8,8839,4,-0.003354199716246174,73.28999999999999,Internet Computer
8,10410,1,-0.0909839440098806,65.85,Moonriver
8,15335,1,-0.086450835905116,66.6,Moonbeam
8,15951,3,0.07746716997888929,68.34666666666668,BitTorrent
9,147,4,0.09929991393216539,70.3125,Algorand
9,345,4,0.08043277197112056,74.13,Binance Coin
9,376,4,0.09764626674883738,91.5975,Bitcoin
9,621,4,0.09554787132050152,71.5125,Cardano
9,659,1,0.0554298642533936,69.73,ChainLink
9,769,4,0.07388720661835929,71.05250000000001,Cosmos
9,907,4,0.11942387717303937,71.0625,Decentraland
9,978,4,0.10360258813847498,78.2875,Ethereum
9,979,4,0.05251853024714032,75.625,XRP
9,983,3,0.06541674747837113,69.64,Stellar
9,984,4,0.0478145284899691,70.87,TRON
9,985,4,0.08611199983712985,69.475,Tezos
9,986,4,-0.020472697775734898,70.815,Monero
9,991,2,0.01740393335733615,68.445,Ethereum Classic
9,994,4,0.16776777010625002,70.21000000000001,VeChain
9,996,2,0.05266333878819445,67.845,Maker
9,998,4,0.17887222742127723,70.0375,Dogecoin
9,1005,4,0.1006192179880877,68.5975,Synthetix Network Token
9,1011,4,0.22992230665623722,69.58500000000001,Theta Network
9,1036,3,0.0814584435374082,71.33333333333333,Polygon
9,1062,3,0.14586891061084697,69.45666666666666,Fantom
9,1069,4,0.13682888272175914,71.1275,Hedera Hashgraph
9,2391,2,0.17020786925084633,69.94999999999999,Klaytn
9,3747,4,0.07709426735136515,70.49000000000001,Solana
9,3844,4,0.07588377291190354,71.3925,Trust Wallet Token
9,4688,4,0.0767027168698835,70.38250000000001,Polkadot
9,5395,4,0.20336175234549592,69.9525,Uniswap
9,5518,4,0.047442833037113996,72.81,Avalanche
9,5613,4,0.07964556518620718,70.6425,Aave
9,5674,2,0.06365266393442615,68.025,PancakeSwap
9,6569,1,0.1841453392473087,68.57,The Graph
9,7102,2,0.1443751272500623,68.815,Flow - Dapper Labs
9,8477,4,0.0382310601491575,69.08500000000001,Mina Protocol (IOU)
9,8839,4,0.01010686179169035,72.82249999999999,Internet Computer
9,15951,3,0.22470791187934078,68.06333333333333,BitTorrent
10,147,3,0.11037261357387233,70.17333333333333,Algorand
10,345,4,0.10946353491731503,73.9175,Binance Coin
10,376,4,0.0952472784409486,90.7075,Bitcoin
10,621,4,0.08396064839809583,71.235,Cardano
10,659,1,-0.0564971751412429,68.33,ChainLink
10,769,4,0.07865755600320434,70.67,Cosmos
10,907,4,0.1375597711518356,70.14,Decentraland
10,978,4,0.11759250545669585,78.91,Ethereum
10,979,4,0.04645851815936687,75.2825,XRP
10,983,3,0.06541674747837113,69.64,Stellar
10,984,4,0.023831391410570252,70.1775,TRON
10,985,3,0.10117661189195493,69.6,Tezos
10,986,4,0.0512852852761708,69.8275,Monero
10,991,1,-0.0011489850631942,68.82,Ethereum Classic
10,994,4,0.15466942459167388,70.03750000000001,VeChain
10,996,3,0.07979950564258687,68.37333333333333,Maker
10,998,4,0.24203190093089758,70.35,Dogecoin
10,1005,4,0.061086381204156825,68.785,Synthetix Network Token
10,1011,4,0.33221556645407063,69.38,Theta Network
10,1013,1,0.1828125,69.01,KuCoin Shares
10,1036,3,0.07106341335483457,71.12666666666667,Polygon
10,1062,3,0.27334363679198853,68.96,Fantom
10,1069,4,0.13880132352902794,70.9275,Hedera Hashgraph
10,2391,2,0.17020786925084633,69.94999999999999,Klaytn
10,3747,4,0.08010393249253804,70.63250000000001,Solana
10,3844,4,0.0770223155772919,70.785,Trust Wallet Token
10,4688,4,0.09907520845578324,70.165,Polkadot
10,4708,1,0.1168425627741994,68.94,SAND
10,5395,4,0.21716113629110814,69.8825,Uniswap
10,5518,4,0.020632776957717827,71.9425,Avalanche
10,5613,4,0.1039418846986189,70.5325,Aave
10,5674,1,0.0781249999999998,68.0,PancakeSwap
10,6569,2,0.22324221273248018,68.56,The Graph
10,7102,3,0.14859168262951808,68.90333333333332,Flow - Dapper Labs
10,8477,3,0.0179168956258739,69.18666666666667,Mina Protocol (IOU)
10,8839,4,0.0278502811935519,72.595,Internet Computer
10,15951,3,0.21291329987652552,67.87666666666667,BitTorrent
11,147,2,0.1287459166388432,70.22,Algorand
11,345,4,0.13760836567196388,73.3775,Binance Coin
11,376,4,0.07201194034049635,89.6075,Bitcoin
11,621,4,0.03606763052735853,70.6175,Cardano
11,659,2,-0.06991525423728806,68.44,ChainLink
11,769,4,0.04429685067636355,70.0675,Cosmos
11,809,1,-0.1416599284178592,64.78,Crypto.com Coin
11,907,4,0.08236070879521173,69.33,Decentraland
11,978,4,0.07181425216065843,79.5675,Ethereum
11,979,4,0.0292542456388093,74.71000000000001,XRP
11,983,2,0.08835464698338691,69.81,Stellar
11,984,4,-0.019983364722175247,68.78,TRON
11,985,2,0.14313596290025266,69.74,Tezos
11,986,4,0.03735225136895937,68.755,Monero
11,991,2,-0.08457663271351254,67.22999999999999,Ethereum Classic
11,994,4,-0.01780511995308613,69.345,VeChain
11,996,3,0.10090400745733441,67.30333333333334,Maker
11,998,4,0.18590337381466676,69.6075,Dogecoin
11,1005,3,0.06607867157672404,68.98666666666666,Synthetix Network Token
11,1011,4,0.27647444442853475,68.52250000000001,Theta Network
11,1013,1,0.1828125,69.01,KuCoin Shares
11,1036,3,0.0190501729213703,71.13333333333334,Polygon
11,1062,4,0.209206867062138,68.015,Fantom
11,1069,4,0.09270020676962366,70.28999999999999,Hedera Hashgraph
11,2391,3,0.08105499057472738,68.43666666666667,Klaytn
11,3747,4,0.1477167232930665,70.02000000000001,Solana
11,3844,4,0.008126320026680074,70.1875,Trust Wallet Token
11,4688,4,0.07128019122505914,69.6875,Polkadot
11,4708,1,0.1168425627741994,68.94,SAND
11,5395,4,0.14310847212624206,69.2425,Uniswap
11,5518,4,0.08655407387235825,71.295,Avalanche
11,5613,4,0.06769097203333413,69.885,Aave
11,6569,2,0.09603873851456723,66.845,The Graph
11,7102,4,0.09180090482928147,68.0675,Flow - Dapper Labs
11,8477,2,0.01559714795008905,68.74000000000001,Mina Protocol (IOU)
11,8839,4,-0.011188015256372523,71.615,Internet Computer
11,15951,3,0.11779901106707909,66.88,BitTorrent
12,147,2,0.08721994467102674,68.955,Algorand
12,345,4,0.1047960928354268,73.08,Binance Coin
12,376,4,0.06423047758652978,88.5775,Bitcoin
12,621,4,0.02361146910754098,69.8875,Cardano
12,659,3,-0.04806181166173044,68.76333333333334,ChainLink
12,769,4,0.03173904162899098,69.355,Cosmos
12,809,1,-0.1416599284178592,64.78,Crypto.com Coin
12,907,4,0.08152658217112725,68.6725,Decentraland
12,978,4,0.03759769272914145,78.9125,Ethereum
12,979,4,0.03719653974829005,73.955,XRP
12,983,1,0.1531279418057339,69.6,Stellar
12,984,4,-0.03419312523280382,68.195,TRON
12,985,1,0.2212389380530973,69.71,Tezos
12,986,4,0.03233047372407322,68.8025,Monero
12,991,1,-0.1680042803638309,65.64,Ethereum Classic
12,994,4,-0.010350824436742227,69.055,VeChain
12,996,3,0.10090400745733441,67.30333333333334,Maker
12,998,4,0.22280054773955918,68.905,Dogecoin
12,1005,3,0.0673224092991729,68.53333333333333,Synthetix Network Token
12,1011,4,0.2467381392959025,67.9825,Theta Network
12,1013,2,0.07616234756097565,67.87,KuCoin Shares
