,id_project,week,year,top,score,created_at,name,week_associated,init_price,end_price,performance,date_performance
153,345,3,2024,General,74.66,2024-01-22 10:03:14,Binance Coin,6,315.66,305.87,-0.03101438256351777,2024-01-27 21:00:11
154,979,3,2024,General,72.88,2024-01-22 10:03:16,XRP,6,0.548614,0.530753,-0.032556588056447726,2024-01-27 21:00:15
155,621,3,2024,General,71.50,2024-01-22 10:03:15,Cardano,6,0.512815,0.489353,-0.04575139182746222,2024-01-27 21:00:20
156,1069,3,2024,General,71.20,2024-01-22 10:03:17,Hedera Hashgraph,6,0.076004,0.07453,-0.01939371612020424,2024-01-27 21:01:22
157,984,3,2024,General,70.70,2024-01-22 10:03:16,TRON,6,0.110089,0.1126,0.022808818319723125,2024-01-27 21:00:27
158,769,3,2024,General,70.42,2024-01-22 10:03:15,Cosmos,6,9.77,9.69,-0.008188331627430918,2024-01-27 21:00:51
159,1036,3,2024,General,70.13,2024-01-22 10:03:17,Polygon,6,0.778208,0.786723,0.010941804761708874,2024-01-27 21:00:35
160,4688,3,2024,General,70.08,2024-01-22 10:03:30,Polkadot,6,6.87,6.7,-0.024745269286753992,2024-01-27 21:00:29
161,5613,3,2024,General,69.69,2024-01-22 10:03:33,Aave,6,96.6,92.03,-0.04730848861283637,2024-01-27 21:01:53
162,3844,3,2024,General,69.60,2024-01-22 10:03:28,Trust Wallet Token,6,1.11,1.14,0.027027027027026848,2024-01-27 21:04:52
163,8477,3,2024,General,69.53,2024-01-22 10:03:44,Mina Protocol (IOU),6,1.13,1.098,-0.02831858407079629,2024-01-27 21:02:08
164,15951,3,2024,General,69.19,2024-01-22 10:04:29,BitTorrent,6,9.73958e-07,8.87921e-07,-0.0883374847786045,2024-01-27 21:02:36
165,6569,3,2024,General,68.28,2024-01-22 10:03:37,The Graph,6,0.159644,0.161063,0.008888526972513865,2024-01-27 21:01:49
166,1087,3,2024,General,67.95,2024-01-22 10:03:17,Kava,6,0.717456,0.718604,0.0016000981244843418,2024-01-27 21:03:11
167,5674,3,2024,General,67.86,2024-01-22 10:03:34,PancakeSwap,6,2.72,2.6,-0.04411764705882357,2024-01-27 21:03:38
168,907,3,2024,General,66.75,2024-01-22 10:03:16,Decentraland,6,0.473862,0.455206,-0.03937011197352817,2024-01-27 21:02:56
169,996,3,2024,General,66.27,2024-01-22 10:03:16,Maker,6,1970.93,2017.33,0.023542185668694406,2024-01-27 21:01:40
170,1011,3,2024,General,66.17,2024-01-22 10:03:17,Theta Network,6,1.022,1.006,-0.01565557729941293,2024-01-27 21:02:27
171,986,3,2024,General,65.74,2024-01-22 10:03:16,Monero,6,156.3,159.96,0.023416506717850265,2024-01-27 21:01:12
172,1014,3,2024,General,65.70,2024-01-22 10:03:17,Enjin Coin,6,0.294158,0.292388,-0.006017174443666309,2024-01-27 21:05:36
173,1032,3,2024,General,65.40,2024-01-22 10:03:17,Zilliqa,6,0.0217344,0.0207059,-0.047321297114252134,2024-01-27 21:05:50
174,985,3,2024,General,65.37,2024-01-22 10:03:16,Tezos,6,1.028,1.0,-0.027237354085603138,2024-01-27 21:02:44
175,7102,3,2024,General,65.03,2024-01-22 10:03:39,Flow - Dapper Labs,6,0.775763,0.76573,-0.01293307363202416,2024-01-27 21:02:10
176,1118,3,2024,General,64.60,2024-01-22 10:03:17,VeThor Token,6,0.00217872,0.00223183,0.02437669824484115,2024-01-27 21:10:25
177,659,3,2024,General,64.35,2024-01-22 10:03:15,ChainLink,6,15.72,14.36,-0.08651399491094156,2024-01-27 21:00:31
178,4708,3,2024,General,64.30,2024-01-22 10:03:30,SAND,6,0.485643,0.456548,-0.05991026330040788,2024-01-27 21:02:25
179,1081,3,2024,General,64.29,2024-01-22 10:03:17,Harmony,6,0.0148119,0.0147299,-0.0055360892255550435,2024-01-27 21:09:30
180,376,4,2024,General,90.18,2024-01-29 10:12:05,Bitcoin,6,42047.0,43050.0,0.023854258329964087,2024-02-03 21:00:07
181,978,4,2024,General,75.67,2024-01-29 10:12:13,Ethereum,6,2271.05,2302.0,0.013628057506439672,2024-02-03 21:00:09
182,345,4,2024,General,73.65,2024-01-29 10:12:05,Binance Coin,6,305.87,300.03,-0.019093078758949986,2024-02-03 21:00:13
183,979,4,2024,General,72.38,2024-01-29 10:12:13,XRP,6,0.530753,0.518837,-0.02245112133139151,2024-02-03 21:00:18
184,5518,4,2024,General,72.19,2024-01-29 10:13:09,Avalanche,6,32.85,36.09,0.09863013698630142,2024-02-03 21:00:28
185,8839,4,2024,General,71.37,2024-01-29 10:13:47,Internet Computer,6,12.8,12.7,-0.007812500000000111,2024-02-03 21:00:45
186,1069,4,2024,General,71.19,2024-01-29 10:12:16,Hedera Hashgraph,6,0.07453,0.069608,-0.0660405205957332,2024-02-03 21:01:28
187,984,4,2024,General,70.89,2024-01-29 10:12:13,TRON,6,0.1126,0.117176,0.040639431616340996,2024-02-03 21:00:32
188,1036,4,2024,General,70.75,2024-01-29 10:12:15,Polygon,6,0.786723,0.787899,0.0014948082107680415,2024-02-03 21:00:38
189,769,4,2024,General,70.64,2024-01-29 10:12:10,Cosmos,6,9.69,9.14,-0.056759545923632505,2024-02-03 21:00:59
190,4688,4,2024,General,70.57,2024-01-29 10:13:00,Polkadot,6,6.7,6.88,0.026865671641791003,2024-02-03 21:00:34
191,994,4,2024,General,70.54,2024-01-29 10:12:13,VeChain,6,0.0282792,0.0286001,0.011347562873065679,2024-02-03 21:01:43
192,621,4,2024,General,70.42,2024-01-29 10:12:08,Cardano,6,0.489353,0.515851,0.05414904986788671,2024-02-03 21:00:24
193,6569,4,2024,General,70.35,2024-01-29 10:13:21,The Graph,6,0.161063,0.158082,-0.01850828557769327,2024-02-03 21:01:54
194,5613,4,2024,General,70.07,2024-01-29 10:13:10,Aave,6,92.03,86.56,-0.05943714006302291,2024-02-03 21:02:02
195,147,4,2024,General,69.83,2024-01-29 10:12:02,Algorand,6,0.168011,0.166082,-0.01148139109939222,2024-02-03 21:02:05
196,8477,4,2024,General,69.71,2024-01-29 10:13:43,Mina Protocol (IOU),6,1.098,1.21,0.10200364298724943,2024-02-03 21:02:14
197,3844,4,2024,General,69.61,2024-01-29 10:12:51,Trust Wallet Token,6,1.14,1.12,-0.01754385964912263,2024-02-03 21:04:19
198,15951,4,2024,General,68.65,2024-01-29 10:15:40,BitTorrent,6,8.87921e-07,8.05257e-07,-0.09309837249034535,2024-02-03 21:02:52
199,1087,4,2024,General,68.42,2024-01-29 10:12:16,Kava,6,0.718604,0.708463,-0.014112083985060014,2024-02-03 21:03:14
