platform,date,year,week,id_project,project_name,start_price,end_price,performance
polygon-ecosystem,2023-05-27,2023,21,376,Bitcoin,27029.0,26755.0,-0.0101372599800214
polygon-ecosystem,2023-05-27,2023,21,345,Binance Coin,310.58,305.65,-0.0158735269495782
polygon-ecosystem,2023-05-27,2023,21,659,ChainLink,6.49,6.43,-0.0092449922958398
polygon-ecosystem,2023-05-27,2023,21,1036,Polygon,0.874814,0.921656,0.0535450964433583
polygon-ecosystem,2023-05-27,2023,21,6569,The Graph,0.121648,0.11919,-0.0202058398000789
polygon-ecosystem,2023-05-27,2023,21,5613,Aave,65.15,65.25,0.0015349194167305
polygon-ecosystem,2023-05-27,2023,21,4708,SAND,0.52977,0.524303,-0.0103195726447326
polygon-ecosystem,2023-05-27,2023,21,4692,Sushi,0.899182,0.840121,-0.065683031911226
polygon-ecosystem,2023-05-27,2023,21,907,Decentraland,0.493189,0.471698,-0.0435755866412267
polygon-ecosystem,2023-05-27,2023,21,1090,IoTeX,0.022926,0.0224806,-0.0194277239815056
polygon-ecosystem,2023-05-28,2023,21,1203,IDEX,0.081139,0.077899,-0.0399314756159184
polygon-ecosystem,2023-05-28,2023,21,7598,Ethernity Chain,1.89,1.87,-0.0105820105820104
polygon-ecosystem,2023-05-28,2023,21,9802,Automata,0.129957,0.12433,-0.0432989373408126
polygon-ecosystem,2023-05-28,2023,21,4353,Aleph.im,0.087429,0.090211,0.0318201054569993
polygon-ecosystem,2023-05-28,2023,21,5397,Aavegotchi,0.969946,0.981081,0.0114800205372257
polygon-ecosystem,2023-05-28,2023,21,5399,Frontier,0.176111,0.176365,0.0014422722033263
polygon-ecosystem,2023-05-28,2023,21,10350,Polytrade,0.143458,0.181519,0.2653111015070614
polygon-ecosystem,2023-05-28,2023,21,8316,Boson Protocol,0.176635,0.194408,0.1006199224389278
polygon-ecosystem,2023-05-28,2023,21,18825,Across Protocol,0.0421113,0.0419356,-0.0041722767998136
polygon-ecosystem,2023-05-28,2023,21,10709,The Doge NFT,0.00088721,0.00087384,-0.0150697129202782
polygon-ecosystem,2023-06-04,2023,22,376,Bitcoin,26755.0,27105.0,0.0130816669781349
polygon-ecosystem,2023-06-04,2023,22,345,Binance Coin,305.65,306.24,0.0019303124488795
polygon-ecosystem,2023-06-04,2023,22,5395,Uniswap,5.02,5.07,0.0099601593625499
polygon-ecosystem,2023-06-04,2023,22,1036,Polygon,0.921656,0.898996,-0.0245861796592221
polygon-ecosystem,2023-06-04,2023,22,659,ChainLink,6.43,6.39,-0.0062208398133748
polygon-ecosystem,2023-06-04,2023,22,6569,The Graph,0.11919,0.128589,0.0788572866851246
polygon-ecosystem,2023-06-04,2023,22,3720,Rocket Pool,46.98,48.71,0.0368241805023415
polygon-ecosystem,2023-06-04,2023,22,5613,Aave,65.25,63.17,-0.0318773946360153
polygon-ecosystem,2023-06-04,2023,22,4692,Sushi,0.840121,0.848634,0.010133064165757
polygon-ecosystem,2023-06-04,2023,22,4708,SAND,0.524303,0.570808,0.0886987104784829
polygon-ecosystem,2023-06-11,2023,23,376,Bitcoin,27105.0,25781.0,-0.0488470761852056
polygon-ecosystem,2023-06-11,2023,23,345,Binance Coin,306.24,237.77,-0.2235828108672936
polygon-ecosystem,2023-06-11,2023,23,5395,Uniswap,5.07,4.05,-0.2011834319526628
polygon-ecosystem,2023-06-11,2023,23,659,ChainLink,6.39,5.22,-0.1830985915492957
polygon-ecosystem,2023-06-11,2023,23,6569,The Graph,0.128589,0.101263,-0.212506512998779
polygon-ecosystem,2023-06-11,2023,23,907,Decentraland,0.485787,0.344411,-0.2910246671895296
polygon-ecosystem,2023-06-11,2023,23,1036,Polygon,0.898996,0.599151,-0.3335331859096147
polygon-ecosystem,2023-06-11,2023,23,3720,Rocket Pool,48.71,44.11,-0.0944364606856908
polygon-ecosystem,2023-06-11,2023,23,6723,Lido DAO,2.29,1.81,-0.2096069868995633
polygon-ecosystem,2023-06-11,2023,23,1121,Ocean Protocol,0.410053,0.282138,-0.3119474799599076
polygon-ecosystem,2023-06-17,2023,24,376,Bitcoin,25781.0,26522.0,0.0287420968930607
polygon-ecosystem,2023-06-17,2023,24,345,Binance Coin,237.77,245.14,0.0309963410018083
polygon-ecosystem,2023-06-17,2023,24,5395,Uniswap,4.05,4.53,0.1185185185185186
